Period,Demand,,,
2004,1413,,,In millions
2005,1578,,,
2006,1788,,,
2007,2019,,,
2008,2115,,,
2009,2069,,,
2010,2100,,,
2011,2087,,,
2012,2085,,,
2013,2061,,,
2014,2003,,,
2015,2055,,,
2016,2058,,,
2017,2104,,,
2018,2192,,,
2019,2265,,,
